Timestamp,ElapsedTime,Throughput(Mbps),Position,Event
03:30:23.603,0.00,18.82,0.00,
03:30:24.104,0.50,18.62,0.03,
03:30:24.604,1.00,16.85,0.05,
03:30:25.104,1.50,16.08,0.08,
03:30:25.613,2.01,17.16,0.10,
03:30:26.121,2.52,15.12,0.13,
03:30:26.629,3.03,18.29,0.15,
03:30:27.129,3.53,17.03,0.18,
03:30:27.630,4.03,9.45,0.20,
03:30:28.130,4.53,15.71,0.23,
03:30:28.631,5.03,16.62,0.25,
03:30:29.131,5.53,14.64,0.28,
03:30:29.632,6.03,14.25,0.30,
03:30:30.140,6.54,14.70,0.33,
03:30:30.640,7.04,16.52,0.35,
03:30:31.140,7.54,14.78,0.38,
03:30:31.648,8.05,10.86,0.40,
03:30:32.149,8.55,12.11,0.43,
03:30:32.649,9.05,7.55,0.45,
03:30:33.149,9.55,4.54,0.48,
03:30:33.649,10.05,1.04,0.50,
03:30:34.150,10.55,0.86,0.53,
03:30:34.650,11.05,0.88,0.55,
03:30:35.158,11.56,1.14,0.58,
03:30:35.666,12.06,8.68,0.60,
03:30:36.166,12.56,11.48,0.63,
03:30:36.674,13.07,7.34,0.65,
03:30:36.695,13.09,0.0,0.55,Handover from AP1 to AP2
03:30:37.174,13.57,12.82,0.68,
03:30:37.682,14.08,11.70,0.70,
03:30:38.182,14.58,12.21,0.73,
03:30:38.683,15.08,11.68,0.75,
03:30:39.183,15.58,13.24,0.78,
03:30:39.684,16.08,15.22,0.80,
03:30:40.184,16.58,14.46,0.83,
03:30:40.684,17.08,14.87,0.85,
03:30:41.185,17.58,15.25,0.88,
03:30:41.693,18.09,14.48,0.90,
03:30:42.200,18.60,15.14,0.93,
03:30:42.701,19.10,16.84,0.95,
03:30:43.201,19.60,16.95,0.98,
03:30:43.701,20.10,9.38,1.00,
03:30:44.202,20.60,15.37,1.00,
03:30:44.702,21.10,16.79,1.00,
03:30:45.202,21.60,14.60,1.00,
03:30:45.703,22.10,15.81,1.00,
03:30:46.203,22.60,19.37,1.00,
03:30:46.703,23.10,17.76,1.00,
03:30:47.203,23.60,16.17,1.00,
03:30:47.704,24.10,16.70,1.00,
03:30:48.204,24.60,15.12,1.00,
03:30:48.704,25.10,8.11,1.00,
03:30:49.205,25.60,16.49,1.00,
03:30:49.705,26.10,18.36,1.00,
03:30:50.205,26.60,19.73,1.00,
03:30:50.706,27.10,15.86,1.00,
03:30:51.213,27.61,17.51,1.00,
03:30:51.721,28.12,15.68,1.00,
03:30:52.222,28.62,17.25,1.00,
03:30:52.722,29.12,16.90,1.00,
03:30:53.222,29.62,17.29,1.00,
03:30:53.730,30.13,15.60,1.00,
03:30:54.231,30.63,16.80,1.00,
03:30:54.731,31.13,15.54,1.00,
03:30:55.239,31.64,16.33,1.00,
03:30:55.747,32.14,17.86,1.00,
03:30:56.248,32.65,17.35,1.00,
