Time,Position,BufferStatus,Bitrate,PacketLoss,Latency,Event
0.00,0.00,98.1%,1.80 Mbps,0.6%,31.7 ms,
0.20,0.01,100.0%,1.73 Mbps,1.4%,29.2 ms,
0.40,0.01,95.6%,1.72 Mbps,1.2%,34.5 ms,
0.60,0.02,100.0%,1.84 Mbps,0.9%,28.7 ms,
0.80,0.03,100.0%,1.72 Mbps,0.8%,34.1 ms,
1.00,0.03,98.1%,1.72 Mbps,1.5%,32.9 ms,
1.20,0.04,96.0%,1.73 Mbps,0.9%,31.4 ms,
1.40,0.05,100.0%,1.85 Mbps,0.8%,26.0 ms,
1.60,0.05,100.0%,1.78 Mbps,0.8%,32.4 ms,
1.80,0.06,95.7%,1.76 Mbps,0.8%,25.6 ms,
2.00,0.07,100.0%,1.87 Mbps,1.5%,26.8 ms,
2.20,0.07,96.3%,1.85 Mbps,0.7%,30.2 ms,
2.40,0.08,100.0%,1.75 Mbps,0.6%,26.4 ms,
2.60,0.09,100.0%,1.72 Mbps,1.3%,30.5 ms,
2.80,0.09,100.0%,1.75 Mbps,1.3%,25.6 ms,
3.00,0.10,96.9%,1.70 Mbps,1.1%,34.8 ms,
3.20,0.11,94.2%,1.87 Mbps,0.9%,28.6 ms,
3.40,0.11,98.2%,1.78 Mbps,1.1%,31.2 ms,
3.60,0.12,91.6%,1.89 Mbps,0.6%,28.5 ms,
3.80,0.13,99.3%,1.89 Mbps,1.0%,30.9 ms,
4.00,0.13,94.7%,1.75 Mbps,0.6%,27.1 ms,
4.20,0.14,95.5%,1.83 Mbps,1.3%,32.8 ms,
4.40,0.15,93.5%,1.88 Mbps,0.7%,26.7 ms,
4.60,0.15,95.9%,1.84 Mbps,0.6%,29.3 ms,
4.80,0.16,95.8%,1.73 Mbps,0.8%,31.9 ms,
5.00,0.17,88.3%,1.76 Mbps,0.6%,26.2 ms,
5.20,0.17,93.0%,1.74 Mbps,1.1%,28.7 ms,
5.40,0.18,94.7%,1.80 Mbps,1.1%,28.0 ms,
5.60,0.19,92.1%,1.84 Mbps,1.2%,30.6 ms,
5.80,0.19,86.5%,1.84 Mbps,1.0%,26.7 ms,
6.00,0.20,86.3%,1.72 Mbps,1.3%,29.7 ms,
6.20,0.21,95.1%,1.74 Mbps,1.0%,26.8 ms,
6.40,0.21,86.2%,1.89 Mbps,1.5%,26.6 ms,
6.60,0.22,92.0%,1.79 Mbps,0.7%,34.9 ms,
6.80,0.23,89.6%,1.78 Mbps,0.8%,26.2 ms,
7.00,0.23,88.9%,1.71 Mbps,0.5%,27.6 ms,
7.20,0.24,94.1%,1.76 Mbps,1.3%,26.4 ms,
7.40,0.25,89.7%,1.86 Mbps,1.3%,26.2 ms,
7.60,0.25,90.5%,1.87 Mbps,1.4%,34.1 ms,
7.80,0.26,96.3%,1.80 Mbps,1.3%,31.5 ms,
8.00,0.27,90.8%,1.77 Mbps,0.5%,31.5 ms,
8.20,0.27,93.9%,1.89 Mbps,1.4%,34.0 ms,
8.40,0.28,99.1%,1.80 Mbps,1.0%,30.1 ms,
8.60,0.29,100.0%,1.76 Mbps,1.0%,32.0 ms,
8.80,0.29,93.8%,1.78 Mbps,0.9%,31.4 ms,
9.00,0.30,100.0%,1.82 Mbps,1.1%,26.8 ms,
9.20,0.31,96.6%,1.79 Mbps,1.4%,25.3 ms,
9.40,0.31,99.7%,1.88 Mbps,1.1%,34.4 ms,
9.60,0.32,97.3%,1.72 Mbps,1.0%,26.4 ms,
9.80,0.33,96.5%,1.89 Mbps,1.0%,27.6 ms,
10.00,0.33,100.0%,1.89 Mbps,1.2%,26.6 ms,
10.20,0.34,100.0%,1.74 Mbps,1.5%,34.8 ms,
10.40,0.35,100.0%,1.84 Mbps,0.7%,25.2 ms,
10.60,0.35,95.2%,1.72 Mbps,0.8%,31.7 ms,
10.80,0.36,94.3%,1.85 Mbps,0.6%,27.8 ms,
11.00,0.37,99.4%,1.71 Mbps,0.5%,27.9 ms,
11.20,0.37,99.1%,1.74 Mbps,0.8%,29.7 ms,
11.40,0.38,95.6%,1.83 Mbps,0.9%,34.6 ms,
11.60,0.39,95.6%,1.83 Mbps,1.3%,30.7 ms,
11.80,0.39,99.5%,1.83 Mbps,1.4%,34.5 ms,
12.00,0.40,95.8%,1.88 Mbps,1.3%,31.4 ms,
12.20,0.41,85.7%,1.60 Mbps,0.7%,43.3 ms,
12.40,0.41,81.0%,1.63 Mbps,0.7%,47.1 ms,
12.60,0.42,75.6%,1.53 Mbps,1.4%,54.0 ms,
12.80,0.43,65.2%,1.23 Mbps,1.0%,68.8 ms,
13.00,0.43,60.7%,1.20 Mbps,1.2%,89.6 ms,
13.20,0.44,52.0%,1.00 Mbps,0.8%,80.6 ms,
13.40,0.45,44.5%,0.94 Mbps,3.6%,103.7 ms,
13.60,0.45,39.4%,0.75 Mbps,7.9%,119.6 ms,
13.80,0.46,31.9%,0.81 Mbps,9.9%,128.8 ms,
14.00,0.47,24.6%,0.54 Mbps,10.4%,120.0 ms,
14.20,0.47,22.0%,0.57 Mbps,12.1%,140.3 ms,
14.40,0.48,16.3%,0.43 Mbps,13.2%,150.0 ms,
14.60,0.49,10.1%,0.36 Mbps,16.3%,156.3 ms,
14.80,0.49,3.1%,0.33 Mbps,19.2%,161.0 ms,
15.00,0.50,N/A,N/A,N/A,N/A,Handover from AP1 to AP2
15.00,0.50,6.3%,0.33 Mbps,21.0%,171.5 ms,
15.20,0.51,8.2%,0.27 Mbps,16.8%,168.9 ms,
15.20,0.51,8.2%,0.27 Mbps,16.8%,168.9 ms,High packet loss detected
15.40,0.51,3.9%,0.28 Mbps,16.7%,150.5 ms,
15.60,0.52,12.0%,0.35 Mbps,13.4%,144.4 ms,
15.80,0.53,20.1%,0.30 Mbps,11.9%,142.2 ms,
16.00,0.53,22.6%,0.31 Mbps,8.8%,130.4 ms,
16.20,0.54,24.2%,0.22 Mbps,7.5%,110.8 ms,
16.40,0.55,20.5%,0.26 Mbps,4.5%,111.3 ms,
16.60,0.55,29.4%,0.36 Mbps,4.7%,109.4 ms,
16.80,0.56,28.4%,0.30 Mbps,2.9%,91.8 ms,
17.00,0.57,38.7%,0.28 Mbps,1.4%,79.7 ms,
17.20,0.57,35.0%,0.38 Mbps,0.9%,79.5 ms,
17.40,0.58,38.5%,0.40 Mbps,1.3%,52.3 ms,
17.60,0.59,47.4%,0.48 Mbps,0.6%,44.7 ms,
17.80,0.59,43.9%,0.40 Mbps,1.5%,48.9 ms,
18.00,0.60,51.7%,0.52 Mbps,1.2%,34.9 ms,
18.20,0.61,50.6%,0.49 Mbps,0.6%,28.6 ms,
18.40,0.61,51.4%,0.63 Mbps,0.5%,28.3 ms,
18.60,0.62,58.2%,0.64 Mbps,0.8%,26.4 ms,
18.80,0.63,58.1%,0.66 Mbps,0.9%,29.0 ms,
19.00,0.63,57.7%,0.77 Mbps,0.7%,28.4 ms,
